ph,temperature_c,turbidity_ntu,dissolved_oxygen,conductivity_us,ph_category
7.98,18.77,8.29,7.1,491,1
7.68,30.9,0.81,5.33,407,1
7.81,34.21,4.24,5.17,377,1
7.1,29.44,8.77,8.01,532,1
6.98,33.36,7.04,11.18,422,0
7.14,34.68,5.56,6.71,273,1
6.81,22.04,4.18,9.02,599,0
8.25,27.76,8.22,9.79,227,1
7.07,24.48,7.24,5.43,478,1
7.62,34.73,4.95,6.07,462,1
8.08,16.88,8.98,7.32,434,1
8.07,23.25,2.68,9.69,220,1
7.38,32.51,2.12,8.07,397,1
7.45,20.68,6.61,10.14,556,1
8.49,30.76,9.73,11.07,295,1
7.85,22.66,2.85,10.31,476,1
8.13,34.6,2.87,11.95,543,1
8.31,32.67,1.83,10.28,580,1
8.08,21.03,8.68,10.97,406,1
6.87,30.4,2.65,10.83,325,0
7.62,21.74,5.28,10.11,479,1
6.7,27.13,9.91,10.61,394,0
7.81,28.17,0.62,11.54,450,1
8.41,31.59,5.79,8.33,496,1
7.53,15.49,5.37,9.47,484,1
7.37,19.4,8.17,8.6,297,1
6.57,29.24,3.88,10.96,502,0
8.42,26.27,4.4,8.02,416,1
6.71,24.91,2.1,10.74,572,0
6.58,16.1,7.54,10.6,463,0
6.99,21.97,7.95,11.73,556,0
6.63,32.3,1.8,6.74,591,0
7.41,15.62,4.24,9.97,597,1
7.53,22.93,8.98,10.3,497,1
7.13,33.9,0.53,11.55,438,1
6.6,16.02,3.34,11.35,247,0
6.72,29.99,5.77,9.01,354,0
7.27,20.15,3.67,9.05,390,1
6.62,32.33,3.08,6.17,512,0
7.9,29.92,4.87,11.82,435,1
6.91,32.71,2.22,6.79,375,0
7.1,19.32,5.53,10.07,258,1
7.29,25.63,7.21,10.57,486,1
7.33,30.59,5.97,8.09,372,1
6.5,19.91,1.38,6.48,214,0
6.72,19.61,8.52,6.32,313,0
8.23,15.54,2.16,11.0,551,1
6.5,34.17,7.77,8.58,247,0
7.52,29.2,3.93,5.63,362,1
7.48,27.71,7.94,10.02,404,1
7.17,29.88,2.46,6.75,233,1
7.36,25.63,2.27,11.13,266,1
8.06,24.52,5.22,7.17,576,1
8.18,23.99,0.81,6.4,436,1
7.02,27.81,2.64,5.59,284,1
7.14,19.03,7.38,8.58,267,1
6.98,32.76,8.46,8.16,370,0
7.46,31.24,1.27,10.26,489,1
7.87,21.99,8.88,8.25,492,1
6.96,26.57,8.08,7.41,278,0
7.16,17.82,8.76,6.83,490,1
8.36,34.45,7.14,6.95,558,1
6.6,33.06,6.9,11.49,290,0
7.42,33.44,5.49,6.16,210,1
7.92,21.64,6.7,11.92,583,1
6.8,18.38,9.23,7.29,408,0
6.59,19.24,1.45,5.62,510,0
6.78,16.8,3.5,6.74,328,0
8.34,17.4,1.19,5.41,319,1
6.52,16.43,9.48,10.53,290,0
6.88,34.8,4.73,8.59,286,0
6.56,16.48,6.92,7.36,388,0
6.72,17.65,8.49,9.63,242,0
7.74,31.55,9.91,9.41,536,1
6.98,26.6,2.04,11.58,404,0
7.64,30.49,8.1,11.73,566,1
7.68,27.62,8.93,9.76,400,1
8.2,32.64,0.96,10.72,321,1
6.51,27.77,7.66,10.55,405,0
8.21,25.44,3.87,8.44,261,1
7.74,29.25,6.66,9.93,529,1
6.83,23.95,5.38,5.55,488,0
8.05,21.92,2.97,10.31,258,1
8.21,24.35,1.78,11.73,432,1
7.01,18.39,1.61,5.59,415,1
8.34,30.93,1.48,10.85,280,1
7.41,20.21,6.56,11.53,248,1
7.71,18.07,3.84,6.58,504,1
8.47,19.93,2.56,8.67,305,1
7.22,31.84,7.07,11.5,407,1
8.13,21.6,7.03,11.72,299,1
7.14,28.72,5.62,5.9,461,1
8.1,32.13,9.38,7.44,219,1
7.7,16.55,4.16,9.89,343,1
6.93,30.3,8.44,6.55,418,0
7.33,21.15,1.21,7.27,375,1
7.14,19.33,7.53,5.16,444,1
6.66,28.78,9.89,6.07,272,0
6.56,33.2,8.54,8.94,376,0
7.19,20.9,6.01,9.57,502,1
6.54,26.38,6.45,9.54,333,0
6.83,20.8,3.86,10.45,262,0
7.95,26.09,6.96,7.91,539,1
7.92,27.44,7.82,6.91,511,1
7.98,27.21,9.98,5.11,472,1
7.13,27.47,5.18,6.45,519,1
8.28,17.7,1.08,7.19,511,1
7.69,28.87,6.16,6.25,498,1
6.75,28.5,1.63,5.14,403,0
6.79,28.65,2.83,6.1,207,0
7.89,16.48,3.62,9.66,438,1
6.85,23.94,7.44,9.41,309,0
7.51,23.18,2.25,11.55,509,1
8.48,16.73,2.07,10.59,387,1
6.51,19.45,0.93,8.97,562,0
6.53,23.82,8.8,5.96,438,0
8.49,29.86,7.09,8.95,420,1
7.67,19.74,0.88,5.43,567,1
6.75,31.59,0.77,8.02,390,0
8.29,25.92,5.81,7.73,350,1
8.26,30.21,3.18,7.99,348,1
7.57,24.45,6.17,6.96,550,1
7.74,24.98,4.63,9.8,502,1
7.05,27.39,9.27,10.89,265,1
6.6,33.56,3.23,10.38,396,0
7.69,24.84,6.95,9.39,348,1
7.09,25.57,1.01,8.77,458,1
7.83,27.04,9.58,5.22,220,1
8.17,29.75,9.82,10.06,485,1
6.54,16.44,7.52,8.81,496,0
7.69,25.31,4.92,6.9,290,1
6.96,24.63,2.59,7.29,260,0
8.25,33.43,8.22,11.55,451,1
7.01,24.87,7.5,9.37,302,1
7.72,24.37,2.61,8.33,576,1
7.61,34.24,4.79,9.35,510,1
7.29,24.01,4.9,7.9,582,1
7.86,18.62,8.35,8.29,413,1
7.95,19.34,7.0,7.03,575,1
7.63,16.9,6.61,8.08,205,1
8.02,15.01,6.67,9.8,315,1
8.47,23.64,3.07,5.28,200,1
7.34,30.38,4.03,10.57,471,1
7.53,29.67,0.93,6.98,404,1
6.52,15.64,7.98,9.78,315,0
8.09,26.4,4.61,9.5,321,1
7.54,18.09,4.66,9.57,457,1
7.32,33.82,2.83,9.26,272,1
6.69,18.35,2.49,11.71,405,0
8.28,27.53,6.08,8.56,445,1
7.29,21.52,2.71,10.13,295,1
7.87,27.83,1.11,9.94,291,1
6.8,23.25,7.79,6.65,341,0
8.42,30.19,4.08,6.98,436,1
6.86,19.61,4.11,7.97,301,0
6.9,33.12,4.6,6.94,351,0
8.22,25.0,8.24,7.57,417,1
8.33,30.12,3.55,7.74,274,1
6.92,31.99,7.7,9.23,427,0
7.44,34.98,9.43,6.54,255,1
7.97,19.48,6.78,10.63,257,1
8.26,20.74,4.6,8.06,294,1
7.26,20.01,7.6,9.94,314,1
7.53,20.26,4.85,5.57,211,1
7.98,26.65,4.44,8.29,584,1
7.96,34.87,5.49,5.2,323,1
8.07,34.81,3.52,9.73,521,1
7.64,25.54,1.49,7.41,560,1
6.71,27.78,4.44,11.64,520,0
8.31,32.2,1.68,7.27,532,1
8.23,33.66,4.4,8.95,240,1
8.1,19.08,5.79,6.8,348,1
6.7,25.57,9.34,9.34,498,0
6.91,31.66,0.84,8.27,430,0
7.99,21.06,6.4,7.59,202,1
6.55,23.8,4.85,6.43,426,0
8.46,34.71,0.69,5.78,521,1
7.25,34.7,2.87,5.84,531,1
7.94,33.12,1.63,11.99,353,1
8.28,30.97,2.56,7.89,294,1
7.29,20.38,3.11,5.01,323,1
7.14,21.42,4.31,11.67,318,1
7.72,25.95,5.53,5.14,338,1
7.66,26.22,0.51,7.93,320,1
7.32,25.11,2.04,10.02,382,1
7.7,27.73,1.39,11.4,216,1
8.37,23.17,5.72,9.99,310,1
7.44,29.98,3.63,8.25,325,1
6.89,21.67,5.71,11.82,261,0
7.25,21.61,2.61,5.28,551,1
7.29,17.54,0.73,11.91,470,1
6.76,18.77,9.44,10.95,564,0
6.83,32.01,1.53,11.5,424,0
7.87,23.93,1.71,6.78,243,1
7.18,19.56,1.89,6.0,561,1
8.41,30.19,9.82,9.64,383,1
6.99,26.08,6.37,8.61,473,0
6.7,15.42,6.3,8.66,352,0
8.01,21.33,9.87,11.47,397,1
8.26,18.54,1.34,9.34,395,1
7.06,28.12,9.76,7.18,313,1
6.9,20.5,2.44,7.8,421,0
6.87,16.3,6.42,5.93,493,0
7.54,16.1,4.49,6.35,208,1
7.44,26.63,4.15,6.0,252,1
7.02,15.43,9.35,10.67,536,1
6.59,31.98,1.92,9.93,427,0
7.46,18.11,9.97,8.71,589,1
8.42,27.13,4.1,7.62,441,1
7.81,23.89,6.66,9.68,461,1
7.49,23.86,9.7,10.69,559,1
6.72,16.44,1.05,11.17,464,0
7.0,31.06,9.27,8.83,331,1
7.09,32.86,5.89,10.74,411,1
8.03,15.22,7.19,8.58,294,1
8.25,18.57,1.92,8.32,333,1
8.3,33.08,5.57,11.06,472,1
8.47,25.99,6.9,7.7,259,1
8.46,18.0,4.83,7.77,468,1
8.41,19.06,1.97,7.13,433,1
6.64,28.2,2.82,8.63,323,0
6.78,29.5,8.62,8.81,217,0
7.11,26.99,0.83,9.62,481,1
7.61,34.06,7.23,8.01,529,1
6.69,24.88,9.99,6.52,492,0
8.19,21.01,0.57,11.07,368,1
7.73,24.54,2.03,7.42,461,1
7.58,22.19,6.9,11.46,365,1
6.83,19.49,1.07,6.45,343,0
7.01,15.92,6.1,8.92,330,1
6.82,22.04,7.0,8.76,284,0
8.2,29.23,6.09,10.8,587,1
7.67,15.37,3.97,5.97,466,1
7.97,23.78,7.12,11.37,269,1
7.09,27.88,6.15,8.72,546,1
7.24,27.21,2.47,9.1,260,1
7.31,30.53,5.85,8.57,437,1
8.02,31.21,8.88,5.25,266,1
8.04,29.23,6.83,8.48,344,1
6.91,17.06,4.98,6.84,463,0
8.38,24.5,3.56,7.4,599,1
6.74,27.07,1.32,9.54,596,0
8.29,19.91,2.82,8.48,558,1
6.7,15.85,0.61,5.65,294,0
7.03,19.47,9.87,5.51,237,1
8.19,24.1,2.61,6.3,562,1
6.86,23.28,8.24,6.34,569,0
7.33,18.53,2.1,9.26,311,1
7.4,31.49,3.19,6.24,207,1
6.99,33.51,4.47,11.17,459,0
7.92,19.03,3.58,6.47,230,1
8.2,33.59,8.08,5.64,216,1
8.25,15.36,9.6,11.13,574,1
7.18,33.5,8.82,7.07,398,1
7.56,34.04,1.96,7.98,244,1
7.0,15.24,7.88,11.71,461,1
6.99,30.26,1.91,11.61,347,0
6.82,34.4,9.18,10.0,414,0
8.38,33.12,5.42,5.48,559,1
8.28,34.41,3.7,9.15,295,1
8.05,26.01,1.99,11.92,458,1
7.54,16.56,0.61,11.63,531,1
7.48,32.0,2.86,5.74,369,1
7.56,27.28,9.18,7.77,588,1
7.57,27.29,8.07,7.21,379,1
7.37,23.35,9.71,5.91,383,1
6.76,26.44,1.46,9.86,553,0
6.75,18.07,6.13,6.92,454,0
8.4,29.8,2.94,7.41,547,1
7.46,16.5,5.66,5.63,516,1
8.41,29.6,3.54,8.49,484,1
6.83,31.98,3.19,6.11,296,0
7.61,24.45,5.95,8.02,359,1
6.92,25.2,2.24,6.0,545,0
7.01,21.24,4.96,11.68,446,1
6.56,34.39,6.68,6.01,312,0
6.74,29.66,1.72,8.65,330,0
8.33,22.38,9.34,6.38,510,1
7.14,18.5,5.3,5.53,271,1
7.72,19.39,8.29,6.42,244,1
7.43,24.28,6.71,5.38,506,1
7.3,33.85,7.25,5.98,315,1
7.56,29.68,7.3,8.45,506,1
6.87,19.3,8.81,9.56,413,0
8.48,32.19,6.33,5.61,599,1
8.14,22.56,3.14,8.09,409,1
7.98,32.03,1.45,9.07,546,1
7.44,19.83,6.26,6.64,540,1
6.81,27.37,1.13,7.6,284,0
8.34,33.53,2.79,5.5,598,1
7.18,20.16,1.08,6.54,498,1
6.6,28.86,5.71,8.27,242,0
7.18,34.75,2.02,11.93,202,1
8.09,18.01,6.3,11.97,308,1
7.75,16.77,8.01,11.86,206,1
8.0,28.48,8.31,7.96,343,1
8.09,21.79,3.44,5.56,598,1
6.92,16.42,5.72,7.27,391,0
8.35,24.51,5.85,6.66,209,1
7.38,30.08,4.99,5.1,397,1
7.78,20.7,6.72,5.67,287,1
6.5,21.7,2.5,8.17,542,0
8.49,31.91,9.8,7.38,236,1
7.06,25.4,1.43,6.26,508,1
